type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_bid_size,best_ask,best_ask_size,side,time,trade_id,last_size,price_ema,mid_price_ema
ticker,109353981947,BTC-USD,118187.14,117677.7,4573.76273972,115728.49,118920,190972.37668532,118187.13,0.07688462,118187.14,0.06358593,buy,2025-07-31T13:18:36.653160Z,856435593,0.00008376,118187.14,118187.14
ticker,109353981992,BTC-USD,118187.13,117677.7,4573.76282434,115728.49,118920,190972.37676994,118187.13,0.07680000,118187.14,0.30401468,sell,2025-07-31T13:18:36.795410Z,856435594,0.00008462,118187.14,118187.14
ticker,109353981994,BTC-USD,118187.13,117677.7,4573.81317217,115728.49,118920,190972.42711777,118187.13,0.02645217,118187.14,0.30401468,sell,2025-07-31T13:18:36.795410Z,856435595,0.05034783,118187.14,118187.14
ticker,109353982010,BTC-USD,118187.13,117677.7,4573.82568166,115728.49,118920,190972.43962726,118187.13,0.01394268,118187.14,0.50144339,sell,2025-07-31T13:18:36.799612Z,856435596,0.01250949,118187.14,118187.14
ticker,109353982360,BTC-USD,118187.13,117677.7,4573.82979274,115728.49,118920,190972.44373834,118187.12,0.05254321,118187.13,1.26909218,buy,2025-07-31T13:18:36.951205Z,856435597,0.00411108,118187.14,118187.13
ticker,109353982472,BTC-USD,118187.12,117677.7,4573.84204445,115728.49,118920,190972.45599005,118187.12,0.06454829,118187.13,1.60347086,sell,2025-07-31T13:18:37.071959Z,856435598,0.01225171,118187.14,118187.13
ticker,109353982477,BTC-USD,118187.12,117677.7,4573.86322435,115728.49,118920,190972.47716995,118187.12,0.04336839,118187.13,1.60347086,sell,2025-07-31T13:18:37.072850Z,856435599,0.0211799,118187.14,118187.13
ticker,109353982480,BTC-USD,118187.12,117677.7,4573.90659274,115728.49,118920,190972.52053834,118186.46,0.05254350,118187.13,1.60347086,sell,2025-07-31T13:18:37.073780Z,856435600,0.04336839,118187.14,118187.13
ticker,109353982492,BTC-USD,118186.46,117677.7,4573.95913624,115728.49,118920,190972.57308184,118186.45,0.00000583,118186.47,0.03921000,sell,2025-07-31T13:18:37.075606Z,856435601,0.0525435,118187.14,118187.13
ticker,109353982494,BTC-USD,118186.45,117677.7,4573.95914207,115728.49,118920,190972.57308767,118177.03,0.00007718,118186.47,0.03921000,sell,2025-07-31T13:18:37.075606Z,856435602,0.00000583,118187.14,118187.13
ticker,109353982796,BTC-USD,118174.66,117677.7,4573.95922231,115728.49,118920,190972.57316791,118174.65,0.00007831,118174.66,0.47017594,buy,2025-07-31T13:18:37.118840Z,856435603,0.00008024,118187.03,118187.03
ticker,109353983167,BTC-USD,118174.66,117677.7,4573.95930397,115728.49,118920,190972.57324957,118174.65,0.07687831,118174.66,0.50207648,buy,2025-07-31T13:18:37.492199Z,856435604,0.00008166,118186.14,118186.14
ticker,109353983366,BTC-USD,118174.66,117677.7,4573.95934376,115728.49,118920,190972.57328936,118174.65,0.07687831,118174.66,0.56586056,buy,2025-07-31T13:18:37.818401Z,856435605,0.00003979,118185.42,118185.41
ticker,109353983382,BTC-USD,118174.66,117677.7,4573.96072376,115728.49,118920,190972.57466936,118174.65,0.07687831,118174.66,0.53367756,buy,2025-07-31T13:18:37.855913Z,856435606,0.00138,118185.34,118185.33
ticker,109353983421,BTC-USD,118174.66,117677.7,4573.96374376,115728.49,118920,190972.57768936,118174.65,0.07687831,118174.66,0.53065756,buy,2025-07-31T13:18:37.957578Z,856435607,0.00302,118185.12,118185.12
ticker,109353983508,BTC-USD,118174.66,117677.7,4573.96394930,115728.49,118920,190972.57789490,118174.65,0.04738194,118174.66,0.56125502,buy,2025-07-31T13:18:38.174118Z,856435608,0.00020554,118184.68,118184.67
ticker,109353983829,BTC-USD,118174.66,117677.7,4573.96436039,115728.49,118920,190972.57830599,118174.65,0.04738194,118174.66,0.78075800,buy,2025-07-31T13:18:38.752251Z,856435609,0.00041109,118183.58,118183.58
ticker,109353983834,BTC-USD,118174.66,117677.7,4573.96460706,115728.49,118920,190972.57855266,118174.65,0.04738194,118174.66,0.78051133,buy,2025-07-31T13:18:38.776060Z,856435610,0.00024667,118183.54,118183.54
ticker,109353983837,BTC-USD,118174.66,117677.7,4573.96468872,115728.49,118920,190972.57863432,118174.65,0.04738194,118174.66,0.78042967,buy,2025-07-31T13:18:38.815232Z,856435611,0.00008166,118183.47,118183.47
ticker,109353984064,BTC-USD,118174.66,117677.7,4573.96477248,115728.49,118920,190972.57871808,118174.65,0.04738194,118174.66,0.59683291,buy,2025-07-31T13:18:39.274284Z,856435612,0.00008376,118182.70,118182.69
ticker,109353984232,BTC-USD,118174.66,117677.7,4573.96533434,115728.49,118920,190972.57927994,118174.65,0.04738194,118174.66,0.74898105,buy,2025-07-31T13:18:39.670561Z,856435613,0.00056186,118182.09,118182.08
ticker,109353984305,BTC-USD,118174.66,117677.7,4573.96534900,115728.49,118920,190972.57929460,118174.65,0.04738194,118174.66,0.74896639,buy,2025-07-31T13:18:39.847745Z,856435614,0.00001466,118181.83,118181.82
ticker,109353984358,BTC-USD,118174.66,117677.7,4573.96542924,115728.49,118920,190972.57937484,118174.65,0.04730363,118174.66,0.74888615,buy,2025-07-31T13:18:40.045332Z,856435615,0.00008024,118181.55,118181.55
ticker,109353984436,BTC-USD,118174.66,117677.7,4573.96563864,115728.49,118920,190972.57958424,118174.65,0.04738303,118174.66,0.74867675,buy,2025-07-31T13:18:40.260817Z,856435616,0.0002094,118181.26,118181.25
ticker,109353984584,BTC-USD,118174.65,117677.7,4573.96578907,115728.49,118920,190972.57973467,118174.65,0.04723259,118174.66,0.98426191,sell,2025-07-31T13:18:40.582936Z,856435617,0.00015043,118180.85,118180.84
ticker,109353984610,BTC-USD,118174.66,117677.7,4573.96599461,115728.49,118920,190972.57994021,118174.65,0.00008302,118174.66,0.98405637,buy,2025-07-31T13:18:40.629844Z,856435618,0.00020554,118180.79,118180.79
ticker,109353984883,BTC-USD,118174.66,117677.7,4573.96679710,115728.49,118920,190972.58074270,118174.65,0.04738302,118174.66,0.74766872,buy,2025-07-31T13:18:41.368011Z,856435619,0.00080249,118179.95,118179.94
ticker,109353984931,BTC-USD,118174.65,117677.7,4573.96680073,115728.49,118920,190972.58074633,118174.65,0.00007939,118174.66,0.77576372,sell,2025-07-31T13:18:41.452033Z,856435620,0.00000363,118179.86,118179.86
ticker,109353984933,BTC-USD,118174.65,117677.7,4573.96688012,115728.49,118920,190972.58082572,118172.75,0.01795676,118174.66,0.77576372,sell,2025-07-31T13:18:41.452033Z,856435621,0.00007939,118179.86,118179.86
ticker,109353984935,BTC-USD,118172.75,117677.7,4573.98483688,115728.49,118920,190972.59878248,118172.28,0.03414631,118174.66,0.77576372,sell,2025-07-31T13:18:41.452033Z,856435622,0.01795676,118179.86,118179.86
ticker,109353984937,BTC-USD,118172.28,117677.7,4574.01898319,115728.49,118920,190972.63292879,118171.50,0.00846227,118174.66,0.77576372,sell,2025-07-31T13:18:41.452033Z,856435623,0.03414631,118179.86,118179.86
ticker,109353984939,BTC-USD,118171.5,117677.7,4574.02744546,115728.49,118920,190972.64139106,118169.34,0.00084412,118174.66,0.77576372,sell,2025-07-31T13:18:41.452033Z,856435624,0.00846227,118179.86,118179.86
